postcode,distance_to_leiden,statusscore14,rangorde14
1188,27.2132647007137,"1,29008583379077",498
1189,27.3348593198342,"1,90651012058643",145
1190,31.5051640857673,NA,NA
1191,31.5051640857673,"1,5178803207163",324
1200,45.089000356973,NA,NA
1201,45.089000356973,NA,NA
1202,45.089000356973,NA,NA
1211,45.089000356973,",919055991650688",935
1212,45.8061101085338,"-,970094252107487",3131
1213,45.2489476283275,"2,17809904861015",74
1214,44.7904728528191,",0808129311299998",2307
1215,44.2193464094069,"1,19926245512106",601
1216,43.5665093891986,",149484650610049",2205
1217,44.4860510754453,"1,99284975229123",120
1218,43.7416157436271,",799832364115539",1130
1221,45.3085455738222,",573875852063791",1486
1222,45.2367910556343,"-,536009380328106",2907
1223,46.4131598488524,"-,0926766515699523",2533
1230,41.8155682983638,NA,NA
1231,41.8155682983638,"1,26131839647006",538
1240,41.6687868835069,NA,NA
1241,41.6687868835069,",424807292268414",1762
1243,42.4226723026628,"1,01166578567148",820
1244,41.71382580583,"1,48126959980163",352
1250,120.921725216353,NA,NA
1251,49.0106135370606,"1,40679802614696",404
1252,48.8972048263202,"1,13408573673597",666
1260,49.4097429796505,NA,NA
1261,48.338070835017,"1,64113027017893",260
1270,50.8543286506382,NA,NA
1271,50.8543286506382,",97875020730436",860
1272,49.829970648989,"1,1624915702405",632
1273,51.1456453513993,",292365055848954",1987
1274,52.6521539553998,",264325046252767",2033
1275,52.1069606696756,",604694069502282",1432
1276,51.0531489035408,"-,06396841409892",2498
1277,52.5934096571719,"1,61851598039616",269
1300,54.6834951589516,NA,NA
1301,54.6834951589516,NA,NA
1302,54.6834951589516,NA,NA
1303,54.6834951589516,NA,NA
1305,54.6834951589516,NA,NA
1309,54.6834951589516,NA,NA
1311,49.4769735924409,",940516763345818",906
1312,52.1045407488744,",874154218107143",1003
1313,52.0863787006459,",827348489478969",1085
1314,52.7621840854141,"-,622384686909863",2959
1315,52.0595564525008,",0738878009923384",2319
1316,52.9899304555792,"1,73206803121863",206
1317,53.7397523698342,",174318592943723",2171
1318,53.8510358485619,",572528681161586",1490
1319,50.8978303267546,"2,53214767442446",26
1320,52.0016553291828,NA,NA
1321,50.2372761008308,"1,20337228162916",597
1322,49.8843094949414,NA,NA
1323,51.0295742131864,",316985287880596",1940
1324,52.0656486016173,"-,00118715526640796",2413
1325,52.8155246687477,",864389936790709",1018
1326,53.4879798832888,",883305093248518",990
1327,53.7281204622226,NA,NA
1328,54.577279473267,"1,23376651563814",570
1329,55.7531093767793,NA,NA
1331,57.5338030901061,NA,NA
1332,56.0096512104396,NA,NA
1333,56.6044723029825,",108893892131775",2263
1334,56.6363113393089,"-2,05168658708244",3413
1335,58.0679263628995,"1,01341267487205",818
1336,59.0436359825435,"1,71817151339657",213
1338,56.4999572422768,",533695723957405",1553
1339,57.5557221744209,"1,47991972700645",353
1341,55.3340230175533,NA,NA
1343,55.6189169370917,"2,93388849217648",7
1349,57.4905046535784,NA,NA
1351,51.4676067279129,"2,14258081660583",81
1352,50.9493986768355,",60229759386167",1436
1353,50.561016434355,"-1,33036995955126",3274
1354,50.7992773481977,"-,987390609446105",3143
1355,51.2179850001844,",0966362103122711",2286
1356,51.6542798636001,",402296314268381",1803
1357,51.2966812756062,",375830816930009",1855
1358,53.7830746785187,"3,00870923022079",3
1359,48.9061465901283,"2,82911964655643",9
1361,46.0365320825006,NA,NA
1362,48.7402427328292,NA,NA
1363,47.6262663449395,"1,49878413125829",337
1380,38.8990691277711,NA,NA
1381,38.8990691277711,",851713302717963",1049
1382,39.2804381300301,",355129640273553",1888
1383,38.5973735519287,"1,1300916803504",671
1390,33.5377221619347,NA,NA
1391,33.5377221619347,"1,93096949565323",139
1393,36.8216104779668,"1,87600215752557",156
1394,37.5497776747496,"1,23875982833989",566
1396,33.2976779257521,"1,8653741577698",158
1398,41.9206429656693,",627530652687518",1384
1399,43.3599372942249,"1,25840533254374",543
1400,45.2331024861122,NA,NA
1401,45.460925644592,"1,71288542902504",219
1402,45.440962068723,"1,11354204960947",688
1403,45.4614813077964,",106628052426923",2270
1404,45.3375095996142,"1,12613945307704",672
1405,44.8766397762033,"2,25732874356993",58
1406,44.9464695085512,"1,53355745641903",313
1410,45.1376763899862,NA,NA
1411,45.1376763899862,"1,09576898515657",714
1412,44.1303549720497,"2,02489210218715",112
1420,23.8426327161898,NA,NA
1421,23.8426327161898,",213401453877718",2108
1422,24.2373126440851,",872430854702978",1005
1423,23.2267797581826,"1,69487354621974",231
1424,21.2305964600885,",996973715669568",840
1426,22.6626423304769,"1,92287814448463",142
1427,23.6197914814489,"1,55358197160475",303
1428,20.7454537503309,NA,NA
1430,20.6641950787133,NA,NA
1431,20.1809288342019,",167824499929923",2177
1432,21.1242125482378,"1,70089441478558",226
1433,19.1034279396951,"1,22876373381494",574
1435,19.3868212818687,",537832891987788",1545
1436,22.0347328059842,",915253944915081",940
1437,20.7688001425965,NA,NA
1438,24.0564516547871,NA,NA
1440,48.2580708429076,NA,NA
1441,48.2580708429076,"-,0700429427980855",2503
1442,48.5099646154386,"-,478539427101626",2879
1443,48.4880813874825,"-1,16489400199651",3216
1444,49.2658083413548,",0760931851275577",2315
1445,48.5245458819666,"-,345317517696511",2768
1446,51.0591865306051,",390220530487339",1824
1447,47.4386011437848,",537026512651811",1548
1448,46.9436610853809,"1,2694715723146",524
1451,45.2330810994243,"1,35551513043091",444
1452,45.3712322789573,"1,28895099030479",499
1454,42.3894722323258,"1,94789503403493",134
1456,46.7850641726939,"1,44604987329349",380
1458,46.6035440649643,NA,NA
1461,48.2802717706009,",539596280915186",1542
1462,50.5394642972708,",524505975215485",1569
1463,55.2192533574939,",884565053375071",984
